91,9,3,2,318,2089.21,0.04,27.68,75.47,57833.24,0.7,3212.96,80,44,11,31,29,66,192,126,17,true
109,21,5,18,381,2547.56,0.04,28.37,89.79,72282.68,0.85,4015.7,97,41,12,24,28,75,229,152,38,true
505,106,41,82,2339,20696.93,0.01,75.93,272.58,1571506.88,6.9,87305.94,457,71,48,49,64,397,1397,942,178,true
107,25,7,14,619,4282.78,0.02,52.91,80.95,226588.75,1.43,12588.26,103,32,4,39,35,86,359,260,40,true
74,11,1,8,294,1917.93,0.03,28.77,66.66,55178.46,0.64,3065.47,60,71,14,49,29,63,169,125,21,true
602,136,123,123,2785,25942.69,0.01,105.26,246.47,2730637.23,8.65,151702.06,600,40,2,225,99,538,1641,1144,236,true
29,2,1,2,140,718.1,0.1,9.93,72.35,7127.8,0.24,395.99,28,3,1,8,8,27,73,67,3,true
36,3,1,1,254,1447.91,0.04,23.72,61.05,34338.99,0.48,1907.72,34,2,2,10,15,37,137,117,5,true
70,11,1,6,434,3047.71,0.04,26.63,114.46,81152.69,1.02,4508.48,57,14,13,18,28,102,240,194,21,true
109,20,12,4,223,1322.55,0.04,23.91,55.32,31619.49,0.44,1756.64,89,32,20,17,23,38,144,79,39,true
37,3,1,3,187,1095.44,0.04,24.97,43.87,27356.45,0.37,1519.8,35,15,2,24,21,37,99,88,5,true
90,29,8,9,488,3387.95,0.05,20.69,163.74,70100.61,1.13,3894.48,66,38,24,17,21,102,287,201,57,true
19,2,1,2,71,351.75,0.08,12.66,27.79,4451.81,0.12,247.32,18,25,1,9,15,16,44,27,3,true
152,21,4,5,430,2850.62,0.03,33.3,85.6,94929.66,0.95,5273.87,150,62,2,39,26,73,243,187,41,true
22,5,5,4,100,539.23,0.07,13.94,38.68,7516.89,0.18,417.61,22,0,0,12,17,25,59,41,9,true
69,12,1,1,536,3745.93,0.04,23.38,160.24,87570.07,1.25,4865,68,15,1,17,21,106,300,236,23,true
49,9,1,8,191,1166.73,0.05,21.31,54.76,24859.27,0.39,1381.07,46,1,3,10,25,44,116,75,12,true
48,3,1,2,248,1470.82,0.03,33.59,43.78,49408.04,0.49,2744.89,37,27,11,23,23,38,137,111,5,true
